indicator,status,asset,timeframe,window,PF,win_rate_pct,total_trades,max_drawdown_pct,degradation_pct
BuySell-VolPct,excluded,BATS:SPY,1D,W5-test,1.822,72.73,11,3.92,36.16
BuySell-VolPct,excluded,BATS:QQQ,1D,Full,0.97,47.26,201,11.11,4.62
BuySell-VolPct,excluded,BATS:QQQ,1D,W5-test,1.163,64.29,14,3.97,42.79
BuySell-VolPct,excluded,BITSTAMP:BTCUSD,1D,Full,0.859,54.65,86,16.78,8.23
BuySell-VolPct,excluded,BITSTAMP:BTCUSD,1D,W5-test,0.714,66.67,9,2.56,0.7
BuySell-VolPct,excluded,BATS:SPY,1W,Full,1.709,64.52,31,4.1,4.58
BuySell-VolPct,excluded,BATS:SPY,1W,W5-test,8.762,100.0,1,0.28,
BuySell-VolPct,excluded,BATS:QQQ,1W,Full,1.846,60.0,45,3.82,-15.45
BuySell-VolPct,excluded,BATS:QQQ,1W,W5-test,0.0,0.0,2,2.95,100.0
BuySell-VolPct,excluded,BITSTAMP:BTCUSD,1W,Full,22.312,71.43,14,1.05,-222.66
BuySell-VolPct,excluded,BITSTAMP:BTCUSD,1W,W5-test,1.046,33.33,3,0.86,63.27
CMF-20,excluded,BATS:SPY,1D,Full,1.018,60.09,213,20.66,0.0
CMF-20,excluded,BATS:SPY,1D,W5-test,2.854,84.62,13,3.46,0.0
CMF-20,excluded,BATS:QQQ,1D,Full,1.017,53.94,241,15.49,0.0
CMF-20,excluded,BATS:QQQ,1D,W5-test,2.033,77.78,18,2.11,0.0
CMF-20,excluded,BITSTAMP:BTCUSD,1D,Full,0.931,53.85,91,15.03,0.53
CMF-20,excluded,BITSTAMP:BTCUSD,1D,W5-test,0.719,44.44,9,2.88,0.0
CMF-20,excluded,BATS:SPY,1W,Full,1.791,64.1,39,3.28,0.0
CMF-20,excluded,BATS:SPY,1W,W5-test,,100.0,2,0.28,
CMF-20,excluded,BATS:QQQ,1W,Full,1.599,54.55,55,4.76,0.0
CMF-20,excluded,BATS:QQQ,1W,W5-test,0.511,33.33,3,3.1,0.0
CMF-20,excluded,BITSTAMP:BTCUSD,1W,Full,6.915,64.71,17,1.85,0.0
CMF-20,excluded,BITSTAMP:BTCUSD,1W,W5-test,2.848,50.0,4,0.86,0.0
W200-Macro,excluded,BATS:SPY,1D,Full,1.051,61.18,237,17.45,-3.24
W200-Macro,excluded,BATS:SPY,1D,W5-test,2.854,84.62,13,3.46,0.0
W200-Macro,excluded,BATS:QQQ,1D,Full,0.944,52.58,291,19.11,7.18
W200-Macro,excluded,BATS:QQQ,1D,W5-test,2.033,77.78,18,2.11,0.0
W200-Macro,excluded,BITSTAMP:BTCUSD,1D,Full,1.052,53.47,101,18.6,-12.39
W200-Macro,excluded,BITSTAMP:BTCUSD,1D,W5-test,1.593,50.0,10,2.88,-121.56
W200-Macro,excluded,BATS:SPY,1W,Full,1.916,65.91,44,3.26,-6.98
W200-Macro,excluded,BATS:SPY,1W,W5-test,,100.0,2,0.28,
W200-Macro,excluded,BATS:QQQ,1W,Full,1.73,55.93,59,4.6,-8.19
W200-Macro,excluded,BATS:QQQ,1W,W5-test,0.511,33.33,3,3.1,0.0
W200-Macro,excluded,BITSTAMP:BTCUSD,1W,Full,7.002,66.67,18,1.85,-1.26
W200-Macro,excluded,BITSTAMP:BTCUSD,1W,W5-test,2.848,50.0,4,0.86,0.0
PERMIT,excluded,BATS:SPY,1D,Full,1.036,59.92,252,17.64,-1.77
PERMIT,excluded,BATS:SPY,1D,W5-test,2.725,81.25,16,3.55,4.52
PERMIT,excluded,BATS:QQQ,1D,Full,1.136,52.61,306,11.27,-11.7
PERMIT,excluded,BATS:QQQ,1D,W5-test,1.487,53.57,28,2.45,26.86
PERMIT,excluded,BITSTAMP:BTCUSD,1D,Full,0.936,53.85,91,14.83,0.0
PERMIT,excluded,BITSTAMP:BTCUSD,1D,W5-test,0.719,44.44,9,2.88,0.0
PERMIT,excluded,BATS:SPY,1W,Full,1.495,60.78,51,4.48,16.53
PERMIT,excluded,BATS:SPY,1W,W5-test,,100.0,2,0.28,
PERMIT,excluded,BATS:QQQ,1W,Full,1.507,56.84,95,4.71,5.75
PERMIT,excluded,BATS:QQQ,1W,W5-test,0.693,60.0,5,2.57,-35.62
PERMIT,excluded,BITSTAMP:BTCUSD,1W,Full,6.915,64.71,17,1.85,0.0
PERMIT,excluded,BITSTAMP:BTCUSD,1W,W5-test,2.848,50.0,4,0.86,0.0
WaveTrend-Godmode,absent-not-in-master,BATS:SPY,1D,Full,,,,,
WaveTrend-Godmode,absent-not-in-master,BATS:SPY,1D,W5-test,,,,,
WaveTrend-Godmode,absent-not-in-master,BATS:QQQ,1D,Full,,,,,
WaveTrend-Godmode,absent-not-in-master,BATS:QQQ,1D,W5-test,,,,,
WaveTrend-Godmode,absent-not-in-master,BITSTAMP:BTCUSD,1D,Full,,,,,
WaveTrend-Godmode,absent-not-in-master,BITSTAMP:BTCUSD,1D,W5-test,,,,,
WaveTrend-Godmode,absent-not-in-master,BATS:SPY,1W,Full,,,,,
WaveTrend-Godmode,absent-not-in-master,BATS:SPY,1W,W5-test,,,,,
WaveTrend-Godmode,absent-not-in-master,BATS:QQQ,1W,Full,,,,,
WaveTrend-Godmode,absent-not-in-master,BATS:QQQ,1W,W5-test,,,,,
WaveTrend-Godmode,absent-not-in-master,BITSTAMP:BTCUSD,1W,Full,,,,,
WaveTrend-Godmode,absent-not-in-master,BITSTAMP:BTCUSD,1W,W5-test,,,,,
