trade_num,entry_date,exit_date,entry_price,exit_price,profit_usd,profit_pct,exit_reason,r_multiple,runup_pct,drawdown_pct
1,2025-01-27,2025-03-10,522.3,474.43,-1499.42,-9.261,STOP,-1.0,3.544,7.997
2,2025-06-23,2025-07-28,548.1,553.87,125.26,0.952,STRONG,0.094,4.84,0.628
3,2025-09-08,2025-10-13,586.67,603.92,499.64,2.839,REVERSAL,0.355,4.519,0.393
4,2025-12-29,2026-03-23,613.13,562.21,-1493.72,-8.401,STOP,-1.0,3.828,5.642
5,2026-04-13,2026-06-01,648.86,724.15,1715.88,11.498,STOP,1.183,14.297,1.025
