trade_num,entry_date,exit_date,entry_price,exit_price,profit_usd,profit_pct,exit_reason,r_multiple,runup_pct,drawdown_pct
1,2025-01-01,2025-01-23,94389,103932,1073.96,10.005,REVERSAL,0.723,15.857,5.536
2,2025-01-27,2025-02-25,102091,87061,-1525.93,-14.815,STOP,-1.0,4.267,10.541
3,2025-05-29,2025-07-01,105579,105708,3.34,0.022,REVERSAL,0.012,4.743,6.951
4,2025-07-25,2025-08-15,117654,117445,-46.77,-0.278,REVERSAL,-0.02,5.833,4.874
5,2025-08-22,2025-09-19,116892,115701,-181.77,-1.118,REVERSAL,-0.111,0.921,8.232
6,2025-09-29,2025-10-05,114380,123518,1614.07,7.885,STRONG,1.098,9.919,1.457
7,2026-01-19,2026-01-29,92561,84529,-1531.27,-8.773,STOP,-1.0,0.257,7.088
8,2026-04-29,2026-05-07,75746,80016,764.46,5.534,REVERSAL,0.522,9.356,0.59
9,2026-05-13,2026-06-01,79285,72079,-1518.94,-9.184,STOP,-1.0,3.484,8.691
