trade_num,entry_date,exit_date,entry_price,exit_price,profit_usd,profit_pct,exit_reason,r_multiple,runup_pct,drawdown_pct
1,2018-02-26,2019-06-03,11464,7632,-591.16,-33.51,REVERSAL,-0.393,1.954,72.764
2,2019-08-19,2020-02-24,10138,8528,-453.15,-15.973,REVERSAL,-0.302,8.0,36.625
3,2020-06-22,2020-08-10,9119,11913,915.63,30.524,REVERSAL,0.619,32.69,2.347
4,2020-09-14,2020-12-14,10925,20567,3588.99,88.112,TARGET,2.4,82.316,7.201
5,2021-07-26,2021-09-13,39840,47244,445.27,18.475,REVERSAL,0.289,32.923,6.376
6,2021-11-15,2021-11-22,58679,57338,-83.43,-2.384,REVERSAL,-0.051,1.428,9.152
7,2023-05-22,2024-01-15,28073,41453,2308.39,47.538,STOP,1.486,74.716,11.816
8,2024-08-19,2024-12-23,64263,93556,1908.56,45.46,REVERSAL,1.202,68.626,18.233
